Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27.290001,27.33,26.959999,26.99,1246300,26.99
2014-12-30,27.23,27.379999,27.049999,27.200001,870000,27.200001
2014-12-29,27.00,27.379999,27.00,27.290001,889800,27.290001
2014-12-26,27.190001,27.299999,27.02,27.059999,440600,27.059999
2014-12-24,27.25,27.299999,27.08,27.18,388000,27.18
2014-12-23,27.15,27.33,27.10,27.24,1310900,27.24
2014-12-22,27.00,27.35,26.84,27.120001,1427600,27.120001
2014-12-19,26.379999,27.059999,26.16,27.01,3188500,27.01
2014-12-18,25.15,26.280001,25.059999,26.280001,2173800,26.280001
2014-12-17,23.93,24.68,23.83,24.629999,2115600,24.629999
2014-12-16,24.08,24.540001,23.889999,23.90,1614000,23.90
2014-12-15,24.299999,24.540001,24.059999,24.09,1830900,24.09
2014-12-12,24.459999,24.610001,24.07,24.15,1712600,24.15
2014-12-11,25.709999,25.799999,24.73,24.860001,1878100,24.860001
2014-12-10,25.74,25.940001,25.42,25.50,1305300,25.50
2014-12-09,25.549999,25.860001,25.379999,25.85,1734800,25.85
2014-12-08,26.440001,26.440001,25.82,25.860001,1622900,25.860001
2014-12-05,26.200001,26.440001,26.059999,26.440001,2239600,26.440001
2014-12-04,26.200001,26.389999,26.16,26.290001,1364400,26.290001
2014-12-03,25.77,26.309999,25.73,26.209999,1279200,26.209999
2014-12-02,25.700001,25.90,25.57,25.74,969100,25.74
2014-12-01,25.549999,25.75,25.27,25.65,997000,25.65
